wind_speed,wind_dir,air_pressure,tide_level,surface_current,current_dir,depth,Hs
7.347,58.542,1014.069,0.318,0.424,34.16,20.473,0.92
12.969,327.934,1014.478,0.117,0.594,319.214,20.97,1.542
13.404,296.113,1024.638,0.428,0.662,293.96,13.348,1.568
10.85,341.928,1001.766,0.105,0.579,315.798,8.302,1.527
5.516,261.259,1009.752,0.091,0.474,248.979,27.3,1.03
7.407,220.829,1003.104,-0.011,0.469,186.277,13.018,1.263
4.31,150.567,1006.603,0.886,0.326,176.366,21.521,1.027
13.17,335.782,1014.531,0.509,0.647,18.563,22.133,1.624
10.206,311.783,1025,0.327,0.658,314.471,20.2,1.171
12.521,16.279,1003.196,0.644,0.741,357.456,14.258,1.907
7.134,9.492,1011.32,0.716,0.293,352.707,13.422,1.171
16.878,135.527,1016.579,-0.194,0.934,135.598,19.953,2.157
16.768,291.799,1005.066,0.277,0.887,307.83,25.322,2.287
9.005,355.419,1015.105,-0.086,0.455,10.967,26.935,0.953
5.058,54.15,1007.4,0.213,0.332,34.301,10.118,0.775
6.776,213.887,1014.435,0.833,0.421,172.533,11.097,1.15
9.557,137.121,1018.58,-0.168,0.503,128.156,26.895,1.061
9.262,349.169,1022.389,0.472,0.668,338.655,22.731,1.116
6.856,303.163,1009.324,0.673,0.486,271.501,25.66,1.25
10.724,301.798,1012.903,-0.309,0.623,286.823,12.053,1.28
7.864,168.73,1016.545,0.509,0.46,186.574,19.752,1.213
4.373,149.335,1006.293,-0.117,0.296,168.475,22.023,0.739
8.36,98.427,1017.726,1.037,0.545,93.051,21.602,1.145
9.241,20.295,999.077,0.439,0.544,29.179,16.163,1.447
13.502,311.3,1011.636,1.056,0.579,296.232,8.308,1.911
6.295,292.644,1004.224,0.51,0.405,289.953,19.659,0.988
9.867,359.898,1002.56,-0.201,0.627,337.643,13.062,1.224
10.595,358.789,996.566,0.545,0.576,6.114,17.005,1.844
1,199.955,1014.057,0.899,0.05,212.156,27.152,0.459
11.116,276.835,1007.014,1.039,0.691,266.922,15.981,1.794
5.666,340.116,1014.016,-0.075,0.315,355.297,24.796,0.725
8.195,305.873,1000.582,-0.018,0.396,287.42,11.771,1.226
19.415,89.045,1004.797,0.544,0.907,127.182,21.449,2.59
15.656,162.196,1010.823,0.346,0.769,162.561,27.54,1.928
12.808,46.497,1016.947,1.224,0.78,42.797,10.038,1.752
8.862,343.458,1005.292,1.2,0.52,353.004,8.166,1.435
6.069,218.223,1012.58,0.234,0.354,228.403,16.672,0.95
11.093,82.311,1017.097,0.187,0.73,43.95,9.853,1.246
8.601,241.812,1013.632,0.752,0.563,256.267,22.968,1.357
4.241,222.526,1005.159,0.047,0.377,203.498,26.291,0.829
9.413,128.939,1000.882,1.121,0.427,140.423,16.68,1.517
5.98,40.881,1025,0.323,0.376,60.187,13.174,0.519
13.935,241.766,1010.504,0.78,0.905,259.639,16.688,1.962
7.643,187.311,1025,-0.305,0.535,191.649,22.469,0.94
12.158,278.035,1012.567,0.549,0.544,278.856,8.181,1.543
7.379,187.259,1012.52,0.389,0.4,141.019,19.789,1.181
9.664,306.785,1009.324,0.52,0.548,333.804,20.266,1.518
10.12,198.686,1009.607,0.129,0.651,183.055,20.754,1.451
8.216,201.938,1012.787,0.958,0.498,201.787,12.84,1.193
18.083,315.595,1015.539,0.938,0.933,289.421,22.281,2.351
12.702,145.254,1018.565,0.041,0.608,104.546,9.828,1.546
14.285,48.245,1012.572,0.103,0.799,60.958,11.985,1.671
17.89,10.362,1008.654,-0.069,0.995,344.955,25.549,2.149
11.051,271.849,1008.389,0.585,0.603,288.936,22.774,1.642
13.681,223.311,1016.143,0.547,0.799,216.273,8.275,1.899
4.013,253.469,1009.269,0.525,0.375,209.201,12.968,0.903
5.666,76.667,1007.751,0.182,0.329,57.612,12.288,0.651
1,49.094,1003.571,0.276,0.168,74.899,13.416,0.505
6.289,5.236,1004.826,0.502,0.359,328.322,12.951,0.968
7.696,126.212,1004.129,0.447,0.562,151.346,9.251,1.179
6.554,212.37,1003.17,0.954,0.429,180.953,17.179,1.404
13.959,141.208,995,-0.109,0.774,106.615,22.655,1.949
6.087,157.491,1013.597,0.778,0.48,166.082,20.135,0.96
6.465,325.497,1007.964,0.326,0.394,300.873,21.457,1.035
9.892,125.372,1011.926,0.356,0.731,80.877,9.623,1.362
6.102,185.036,999.535,0.836,0.403,179.135,27.03,1.354
11.743,282.115,1022.61,0.521,0.569,263.142,24.77,1.343
8.11,142.755,1014.163,1.01,0.536,183.302,24.102,1.246
14.983,223.951,1000.95,-0.29,0.838,208.395,24.46,2.069
12.464,310.451,1006.545,-0.164,0.63,347.279,26.654,1.521
6.648,341.827,1022.039,0.704,0.493,35.924,18.885,0.839
12.719,52.946,1019.928,0.628,0.854,48.288,12.006,1.754
13.411,333.572,1008.928,0.027,0.69,0.779,20.336,1.487
13.258,177.162,1015.085,0.024,0.836,160.563,22.858,1.626
1,92.968,1001.272,-0.224,0.066,136.174,22.758,0.307
7.445,165.289,1014.129,1.057,0.431,148.78,18.429,1.109
1.542,352.812,1023.077,0.071,0.123,357.947,9.369,0.245
16.213,177.343,1012.074,0.242,0.975,176.831,15.422,2.137
10.935,118.351,1013.148,0.138,0.667,103.293,26.415,1.387
8.487,228.024,1010.134,0.222,0.434,243.271,19.689,1.298
4.913,86.452,1007.953,-0.108,0.32,105.514,18.767,0.616
6.696,27.311,1004.362,0.489,0.476,5.904,13.377,1.093
6.918,46.397,1008.074,-0.271,0.276,72.08,15.369,0.813
12.628,46.097,998.203,0.629,0.738,54.1,25.907,1.96
10.763,54.685,1018.124,0.021,0.702,81.589,21.329,1.188
14.598,49.978,1005.8,0.491,0.778,60.999,23.748,2.056
9.202,230.715,999.789,1.032,0.792,272.864,17.087,1.644
1,65.477,1016.312,0.705,0.145,93.437,20.605,0.211
13.442,124.44,1017.83,0.482,0.789,113.001,12.968,1.645
13.594,322.844,1019.508,0.219,0.785,293.348,22.109,1.558
10.026,170.626,1020.185,0.303,0.598,195.765,16.552,1.226
11.908,240.321,1005.259,0.542,0.447,268.507,16.851,1.739
9.473,62.035,1007.892,1.04,0.739,44.603,20.986,1.62
9.852,69.224,1015.109,0.639,0.542,58.481,26.726,1.291
9.04,14.713,1019.966,0.64,0.481,45.337,9.28,1.062
4.054,60.817,998.78,0.751,0.155,60.864,24.495,0.807
6.353,100.293,1016.055,0.411,0.413,95.265,13.848,0.759
1,63.724,1003.69,-0.215,0.167,62.046,16.878,0.417
11.131,31.933,1002.727,0.491,0.699,5.965,8.438,1.586
7.046,43.429,1010.245,1.6,0.501,29.752,14.021,1.49
9.631,165.88,1013.013,-0.071,0.464,164.479,18.053,1.077
12.316,74.28,1012.449,0.8,0.788,87.263,9.124,1.517
6.041,131.137,1002.204,0.198,0.329,124.326,17.822,1.019
8.345,181.23,1016.645,0.495,0.563,203.693,26.542,1.13
11.551,248.542,1006.526,-0.061,0.773,282.92,10.108,1.491
3.51,14.152,1002.768,0.351,0.283,355.135,23.289,0.852
3.689,287.788,1012.867,0.5,0.355,306.519,16.193,0.573
