Re,D,U,r,theta,V_norm
1903.97,2.05,1.93,14.35,4.5256,0.9906
4756.04,1.99,2.51,5.89,4.3183,1.031
3673.37,4.63,2.4,41.23,0.6016,1.0098
3013.36,2,0.88,13.41,5.7967,0.9523
822.29,2.09,0.87,5.92,3.5718,0.9583
822.17,4.04,1.17,39.08,2.2854,1.001
337.51,2.8,1.4,16.53,4.7535,1.0289
4337.57,4.11,1.52,8.71,1.6171,1.2073
3025.52,1.26,2.2,8.61,4.3575,1.0397
3554.96,2.95,0.64,10.78,0.2495,0.9627
151.89,1.13,0.59,9.45,5.2742,1.0068
4851.05,1.25,1.48,10.57,2.8159,1.0163
4170.59,4.63,2.24,45.43,4.0005,0.9927
1101.08,1.56,0.98,8.98,1.3901,1.0342
950.03,3.13,2.1,16.8,4.2542,1.0183
957.85,2.64,1.15,20.9,4.8521,1.0154
1556,2.39,2.72,6.27,2.9733,0.8556
2647.54,4.6,2.74,28.28,3.8813,0.9858
2188.13,1.09,1.24,6.68,2.8672,0.9624
1491.58,3.66,1.07,8.26,5.6177,0.9897
3078.67,4.85,1.53,24.52,3.1282,1.0012
740.49,3.24,1.1,28.37,5.2892,1.014
1496.12,4.75,2.18,41.67,5.035,0.9916
1863.49,1.21,2.57,2.83,2.5793,0.9484
2307.55,2.68,2.18,6.08,1.4457,1.1621
3936.62,2.04,2.56,7.62,2.5515,0.9986
1038.39,3.92,1.49,35.06,5.1913,0.9978
2595.46,4.93,0.89,12.78,1.4303,1.1341
2982.45,2.03,2.34,15.44,3.2951,0.993
279.93,3.62,1.4,8.54,5.0649,1.2569
3057.35,1.79,2.18,12.18,2.221,1.0246
894.09,3.26,1.18,14.76,4.0351,1.0236
372.01,2.86,0.7,23.43,1.5433,1.0142
4746.98,4.89,2.98,17.04,0.6866,1.0517
4829.88,3.43,0.89,23.81,4.9913,1.0085
4051.57,2.4,2.97,8.4,0.6218,1.0113
1557.84,1.46,2.94,11.02,1.7051,0.9823
533.48,1.6,2.48,14.33,5.3728,1.0161
3436.95,1.9,2.15,4.9,2.1769,1.1094
2228.75,2,1.94,17.77,6.1138,0.9817
654.09,4.4,2.67,28.82,6.1559,0.9645
2501.13,3.24,1.22,8.37,1.6856,1.1399
220.22,3.09,1.67,15.88,0.2575,0.964
4551.14,1.46,2.05,4.18,4.43,1.1266
